case,quarter,R.mth,age,country,1st time visitor,nbr visit past 3 yrs,mode of arrival,carrier,purpose of visit,purpose of visit_Grp,pov6a,Mono-SIN,Last Port,Next Port,length of stay,Travel Type,gender,marital status,companion_1,companion_2,companion_3,companion_4,companion_5,companion_6,accomodation ($),shop ($),fnb ($),transport ($),medical ($),others ($),Total
933,1,1,25-29 yrs,Indonesia,Yes,,Air,Indonesia AirAsia (AWQ),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,4.00,FIT,Male,single,Partner/ Boyfriend/ Girlfriend,,,,,,26.69,451.55,133.43,26.69,0.00,0.00,638.35
939,1,1,35-39 yrs,Indonesia,No,9,Air,Garuda Indonesia (GIA),Stopover,Leisure,Leisure,Multi-Destination,Yes,No,1.00,FIT,Male,married,Alone,,,,,,252.19,156.55,35.58,96.07,0.00,0.00,540.39
968,1,1,45-49 yrs,Indonesia,No,2,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,married,Spouse,Friends,,,,,213.49,306.55,71.16,59.30,0.00,0.00,650.50
969,1,1,60-64 yrs,Indonesia,No,6,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Male,married,Spouse,Children aged 13-19 yrs,,,,,355.81,656.55,355.81,118.60,0.00,0.00,"1,486.78"
970,1,1,30-34 yrs,Indonesia,No,25,Air,Singapore Airlines Limited (SIA),General business purpose,Business,Business,Multi-Destination,Yes,No,2.00,FIT,Male,married,Alone,,,,,,996.27,286.55,711.62,177.91,0.00,0.00,"2,172.35"
972,1,1,35-39 yrs,Indonesia,No,12,Air,AirAsia Berhad (AXM),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,2.00,FIT,Female,married,Children aged 13-19 yrs,,,,,,186.80,318.05,88.95,88.95,"1,500.00",0.00,"2,182.76"
973,1,1,45-49 yrs,Indonesia,No,5,Air,United Airlines Inc (UAL),Stopover,Leisure,Leisure,Multi-Destination,Yes,No,1.00,FIT,Male,married,Spouse,Children aged 0-7 yrs,,,,,118.60,156.55,23.72,47.44,0.00,0.00,346.32
987,1,1,15-19 yrs,Indonesia,No,5,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Female,single,Siblings,,,,,,177.91,281.55,124.53,10.67,0.00,0.00,594.67
"1,027",1,1,55-59 yrs,Indonesia,No,2,Air,Tiger Airways (TGW),"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,Yes,No,day tripper,FIT,Male,married,Spouse,,,,,,0.00,156.55,17.79,0.00,0.00,0.00,174.34
"1,028",1,1,50-54 yrs,Indonesia,No,12,Air,Valuair (VLU),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Friends,,,,,,0.00,856.55,177.91,59.30,0.00,0.00,"1,093.76"
"1,029",1,1,40-44 yrs,Indonesia,No,5,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,12.00,FIT,Female,married,Friends,,,,,,222.38,"1,256.55",177.91,74.13,0.00,0.00,"1,730.97"
"1,030",1,1,60-64 yrs,Indonesia,No,20,Air,Valuair (VLU),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,10.00,FIT,Male,married,Spouse,,,,,,0.00,426.55,53.37,14.23,"2,500.00",0.00,"2,994.16"
