id,qtr,mth,age,first_time_visit,visits_p3y,arrival_method,carrier,pov,pov_grp,multi_dest,last_port,next_port,stay_length,travel_type,gender,married,accom_exp,shopping_exp,fnb_exp,transport_exp,medical_exp,other_exp,total_exp,accompanying_pax,avg_exp,companions,companions_total,comp_alone,comp_colleagues,comp_partner,comp_friends,comp_family,comp_children
1378,1,Jan,20-24,No,60,Sea,Sea,Otr_Per,Lei,Yes,No,Yes,0,FIT,Male,No,0.0,156.55,0.0,6.26,0.0,0.0,162.81,False,162.80999755859375,['Alone'],Alone,True,False,False,False,False,False
1379,1,Jan,35-39,Yes,0,Air,AXM,Vis,Lei,No,No,No,7,FIT,Female,Yes,0.0,206.55,50.83,50.83,0.0,0.0,308.21,False,44.029998779296875,['Alone'],Alone,True,False,False,False,False,False
1385,1,Jan,40-44,No,0,Sea,Sea,Otr_Per,Lei,No,No,No,0,FIT,Female,Yes,0.0,156.55,4.7,4.7,0.0,0.0,165.94,False,165.94000244140625,['Friends'],Friends,False,False,False,True,False,False
1389,1,Jan,50-54,Yes,0,Air,AXM,Hol,Lei,Yes,No,Yes,0,F&E,Female,Yes,0.0,156.55,4.45,84.0,0.0,0.0,245.0,False,245.0,['Friends'],Friends,False,False,False,True,False,False
1395,1,Jan,40-44,No,2,Sea,Sea,Vis,Lei,Yes,No,Yes,14,FIT,Female,Yes,0.0,356.55,11.18,4.47,0.0,0.0,372.2,False,26.58571515764509,['Other relatives'],Other relatives,False,False,False,False,True,False
1396,1,Jan,20-24,No,5,Air,AXM,Vis,Lei,Yes,No,Yes,3,FIT,Female,No,0.0,256.55,0.0,0.0,0.0,0.0,256.55,False,85.51666259765625,"['Parents/ Parents-in-law', 'Other relatives']","Parents/ Parents-in-law, Other relatives",False,False,False,False,True,False
1398,1,Jan,15-19,Yes,0,Sea,Sea,Hol,Lei,Yes,No,Yes,0,FIT,Male,No,0.0,166.55,0.0,39.13,0.0,0.0,205.68,False,205.67999267578125,"['Parents/ Parents-in-law', 'Siblings']","Parents/ Parents-in-law, Siblings",False,False,False,False,True,False
1405,1,Jan,35-39,Yes,0,Sea,Sea,Stp,Lei,Yes,No,Yes,0,FIT,Female,Yes,0.0,181.55,7.83,7.83,0.0,0.0,197.2,False,197.1999969482422,['Siblings'],Siblings,False,False,False,False,True,False
1406,1,Jan,20-24,Yes,0,Air,AXM,Vis,Lei,Yes,No,Yes,1,FIT,Female,No,0.0,206.55,0.0,17.79,0.0,0.0,224.34,False,224.33999633789062,['Parents/ Parents-in-law'],Parents/ Parents-in-law,False,False,False,False,True,False
1407,1,Jan,30-34,No,1,Land,Land,Vis,Lei,Yes,Yes,Yes,0,FIT,Male,Yes,0.0,156.55,17.79,17.79,0.0,0.0,192.13,False,192.1300048828125,['Siblings'],Siblings,False,False,False,False,True,False
1411,1,Jan,25-29,No,3,Air,AXM,Hol,Lei,Yes,No,Yes,5,FIT,Female,No,142.32,156.55,56.93,12.81,0.0,0.0,368.62,False,73.7239990234375,['Friends'],Friends,False,False,False,True,False,False
1431,1,Jan,25-29,No,3,Air,AXM,Hol,Lei,Yes,No,Yes,5,FIT,Female,No,355.81,256.55,53.37,17.79,0.0,0.0,683.53,False,136.706005859375,['Friends'],Friends,False,False,False,True,False,False
1432,1,Jan,25-29,Yes,0,Air,LNI,Hol,Lei,Yes,No,Yes,5,FIT,Male,No,35.58,306.55,35.58,17.79,0.0,0.0,395.51,False,79.102001953125,['Parents/ Parents-in-law'],Parents/ Parents-in-law,False,False,False,False,True,False
1435,1,Jan,40-44,No,40,Sea,Sea,Vis,Lei,Yes,No,Yes,0,FIT,Female,Yes,0.0,156.55,9.39,19.41,0.0,0.0,185.35,False,185.35000610351562,['Alone'],Alone,True,False,False,False,False,False
1439,1,Jan,20-24,Yes,0,Air,AXM,Hol,Lei,Yes,No,Yes,3,FIT,Male,No,284.65,216.55,71.16,17.79,0.0,0.0,590.15,False,196.7166748046875,['Other relatives'],Other relatives,False,False,False,False,True,False
1441,1,Jan,25-29,No,1,Air,AXM,Hol,Lei,Yes,No,Yes,3,FIT,Female,No,276.2,156.55,106.74,17.79,0.0,0.0,557.29,False,185.7633260091146,['Other relatives'],Other relatives,False,False,False,False,True,False
1448,1,Jan,40-44,No,2,Sea,Sea,Acco_Hea,Lei,No,No,No,13,FIT,Female,No,0.0,356.55,46.96,12.04,200.0,0.0,615.55,True,47.3499990609976,"['Parents/ Parents-in-law', 'Other relatives']","Parents/ Parents-in-law, Other relatives",False,False,False,False,True,False
1453,1,Jan,35-39,No,1,Sea,Sea,Vis,Lei,No,No,No,13,FIT,Female,Yes,0.0,156.55,0.0,4.82,0.0,0.0,161.37,False,12.413076547475962,['Other relatives'],Other relatives,False,False,False,False,True,False
1454,1,Jan,50-54,No,1,Air,AXM,Hol,Lei,Yes,No,Yes,5,FIT,Male,Yes,213.49,156.55,71.16,17.79,0.0,0.0,458.99,False,91.797998046875,"['Children aged 13-19 yrs', 'Parents/ Parents-in-law']","Children aged 13-19 yrs, Parents/ Parents-in-law",False,False,False,False,True,True
1456,1,Jan,30-34,No,30,Sea,Sea,Vis,Lei,Yes,No,Yes,20,FIT,Female,Yes,0.0,406.55,15.65,7.83,0.0,0.0,430.03,False,21.501499938964844,['Alone'],Alone,True,False,False,False,False,False
